,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
52,2004-01-22 00:00:00,Suelo,Alquiler,Tarragona,158.0,1438748.0,2004-10-17 00:00:00,Carmen
54,2004-01-22 00:00:00,Local,Venta,Girona,127.0,983234.0,2004-07-09 00:00:00,Carmen
56,2004-01-23 00:00:00,Oficina,Alquiler,Lleida,54.0,512730.0,2004-07-04 00:00:00,Carmen
57,2004-01-24 00:00:00,Local,Alquiler,Girona,274.0,2287626.0,2004-12-21 00:00:00,María
58,2004-01-24 00:00:00,Industrial,Venta,Tarragona,166.0,1373816.0,2004-11-19 00:00:00,Joaquín
59,2004-01-24 00:00:00,Oficina,Alquiler,Lleida,270.0,1920240.0,2004-06-28 00:00:00,Jesús
60,2004-01-24 00:00:00,Casa,Venta,Tarragona,120.0,1140840.0,2004-09-12 00:00:00,Carmen
61,2004-01-24 00:00:00,Industrial,Venta,Tarragona,178.0,1142938.0,2005-01-23 00:00:00,Joaquín
64,2004-01-26 00:00:00,Oficina,Venta,Tarragona,144.0,1436832.0,2004-05-26 00:00:00,Luisa
65,2004-01-27 00:00:00,Suelo,Venta,Lleida,272.0,2119424.0,2004-12-24 00:00:00,Pedro
68,2004-01-27 00:00:00,Local,Venta,Girona,248.0,2212408.0,2004-10-09 00:00:00,María
69,2004-01-28 00:00:00,Casa,Alquiler,Tarragona,179.0,1647695.0,2004-07-12 00:00:00,María
70,2004-01-28 00:00:00,Casa,Venta,Girona,235.0,1939925.0,2004-11-01 00:00:00,Carmen
71,2004-01-28 00:00:00,Suelo,Venta,Tarragona,216.0,1478952.0,2004-10-15 00:00:00,Carmen
73,2004-01-29 00:00:00,Industrial,Venta,Girona,229.0,1098055.0,2004-10-22 00:00:00,Joaquín
75,2004-01-29 00:00:00,Suelo,Alquiler,Tarragona,234.0,1757106.0,2004-12-28 00:00:00,Pedro
76,2004-01-30 00:00:00,Industrial,Alquiler,Tarragona,112.0,1104992.0,2004-06-25 00:00:00,Pedro
78,2004-01-31 00:00:00,Parking,Venta,Barcelona,298.0,2520484.0,2004-11-27 00:00:00,Carmen
79,2004-01-31 00:00:00,Parking,Alquiler,Barcelona,217.0,1339107.0,2004-10-05 00:00:00,Carmen
80,2004-02-01 00:00:00,Industrial,Alquiler,Barcelona,236.0,1812244.0,2004-11-17 00:00:00,Pedro
81,2004-02-02 00:00:00,Parking,Venta,Girona,117.0,1069731.0,2004-09-14 00:00:00,Pedro
83,2004-02-02 00:00:00,Piso,Venta,Barcelona,94.0,470940.0,2004-07-28 00:00:00,Carmen
85,2004-02-03 00:00:00,Piso,Venta,Girona,275.0,2141700.0,2005-01-08 00:00:00,Jesús
89,2004-02-04 00:00:00,Suelo,Venta,Girona,292.0,2685816.0,2004-07-24 00:00:00,Pedro
97,2004-02-07 00:00:00,Casa,Venta,Lleida,227.0,1467782.0,2005-02-01 00:00:00,Carmen
98,2004-02-07 00:00:00,Industrial,Alquiler,Girona,251.0,2067236.0,2004-12-22 00:00:00,María
102,2004-02-08 00:00:00,Casa,Alquiler,Girona,258.0,1188090.0,2004-07-19 00:00:00,María
104,2004-02-10 00:00:00,Piso,Alquiler,Girona,238.0,1854496.0,2005-02-02 00:00:00,Luisa
105,2004-02-10 00:00:00,Piso,Alquiler,Lleida,300.0,2105700.0,2005-01-26 00:00:00,Pedro
106,2004-02-10 00:00:00,Suelo,Alquiler,Girona,222.0,1791318.0,2004-12-13 00:00:00,Jesús
107,2004-02-12 00:00:00,Suelo,Alquiler,Tarragona,187.0,1782297.0,2004-12-20 00:00:00,Joaquín
108,2004-02-12 00:00:00,Suelo,Alquiler,Barcelona,300.0,1528200.0,2004-08-09 00:00:00,Pedro
109,2004-02-12 00:00:00,Parking,Venta,Barcelona,206.0,1587642.0,2004-12-20 00:00:00,Luisa
111,2004-02-13 00:00:00,Local,Alquiler,Lleida,160.0,1064800.0,2004-09-22 00:00:00,Pedro
114,2004-02-14 00:00:00,Industrial,Venta,Tarragona,54.0,438750.0,2004-08-15 00:00:00,Carmen
116,2004-02-15 00:00:00,Oficina,Venta,Girona,274.0,1724008.0,2004-09-26 00:00:00,Joaquín
117,2004-02-15 00:00:00,Oficina,Venta,Girona,253.0,2047276.0,2004-09-10 00:00:00,Luisa
121,2004-02-17 00:00:00,Casa,Alquiler,Barcelona,270.0,1385910.0,2005-02-05 00:00:00,Pedro
122,2004-02-17 00:00:00,Local,Alquiler,Girona,179.0,1461356.0,2004-07-30 00:00:00,Pedro
124,2004-02-19 00:00:00,Industrial,Venta,Girona,118.0,1067192.0,2004-08-25 00:00:00,Carmen
125,2004-02-19 00:00:00,Industrial,Venta,Tarragona,194.0,1373132.0,2004-08-31 00:00:00,María
126,2004-02-20 00:00:00,Industrial,Venta,Barcelona,139.0,1087119.0,2004-05-29 00:00:00,Jesús
127,2004-02-20 00:00:00,Casa,Venta,Tarragona,130.0,1230190.0,2005-01-04 00:00:00,Luisa
128,2004-02-21 00:00:00,Parking,Alquiler,Lleida,206.0,1363926.0,2005-01-08 00:00:00,Carmen
129,2004-02-21 00:00:00,Oficina,Venta,Tarragona,216.0,1389096.0,2004-11-23 00:00:00,Luisa
130,2004-02-21 00:00:00,Local,Venta,Lleida,55.0,477345.0,2004-09-04 00:00:00,Carmen
131,2004-02-21 00:00:00,Oficina,Venta,Tarragona,190.0,1268630.0,2004-12-04 00:00:00,Jesús
133,2004-02-22 00:00:00,Oficina,Alquiler,Tarragona,275.0,1765225.0,2005-02-20 00:00:00,Joaquín
139,2004-02-26 00:00:00,Piso,Venta,Barcelona,222.0,1076034.0,2004-06-02 00:00:00,María
141,2004-02-27 00:00:00,Oficina,Venta,Tarragona,123.0,1128156.0,2004-09-23 00:00:00,Pedro
142,2004-02-27 00:00:00,Oficina,Alquiler,Tarragona,134.0,1310520.0,2004-12-28 00:00:00,María
145,2004-02-28 00:00:00,Parking,Venta,Girona,274.0,2028970.0,2004-08-20 00:00:00,Luisa
148,2004-02-29 00:00:00,Piso,Venta,Lleida,249.0,1492506.0,2005-02-12 00:00:00,Luisa
149,2004-03-01 00:00:00,Casa,Alquiler,Lleida,212.0,1800516.0,2004-12-19 00:00:00,Jesús
150,2004-03-01 00:00:00,Oficina,Alquiler,Lleida,128.0,1259904.0,2004-10-02 00:00:00,Luisa
151,2004-03-02 00:00:00,Oficina,Venta,Tarragona,172.0,1063648.0,2005-02-13 00:00:00,María
154,2004-03-03 00:00:00,Suelo,Alquiler,Girona,185.0,1403595.0,2004-10-02 00:00:00,Pedro
155,2004-03-03 00:00:00,Casa,Venta,Girona,284.0,1561432.0,2004-07-01 00:00:00,Pedro
156,2004-03-03 00:00:00,Oficina,Venta,Tarragona,202.0,1891932.0,2004-10-02 00:00:00,María
160,2004-03-04 00:00:00,Suelo,Venta,Tarragona,165.0,1305480.0,2004-07-29 00:00:00,Jesús
161,2004-03-05 00:00:00,Piso,Alquiler,Lleida,251.0,1361675.0,2004-08-16 00:00:00,Jesús
162,2004-03-05 00:00:00,Local,Venta,Tarragona,266.0,1161090.0,2004-11-23 00:00:00,Carmen
163,2004-03-05 00:00:00,Oficina,Alquiler,Girona,287.0,1395681.0,2004-09-13 00:00:00,Carmen
164,2004-03-05 00:00:00,Industrial,Venta,Tarragona,104.0,1001104.0,2004-10-11 00:00:00,Luisa
165,2004-03-06 00:00:00,Oficina,Venta,Tarragona,250.0,2275500.0,2004-07-29 00:00:00,Luisa
166,2004-03-06 00:00:00,Parking,Venta,Girona,169.0,1370759.0,2005-01-14 00:00:00,Luisa
167,2004-03-06 00:00:00,Suelo,Venta,Lleida,221.0,1842035.0,2004-10-15 00:00:00,Joaquín
168,2004-03-07 00:00:00,Industrial,Alquiler,Barcelona,286.0,2080078.0,2004-07-14 00:00:00,Jesús
170,2004-03-08 00:00:00,Suelo,Venta,Girona,144.0,1358640.0,2004-11-13 00:00:00,Joaquín
172,2004-03-09 00:00:00,Oficina,Venta,Girona,268.0,2400476.0,2005-03-08 00:00:00,Joaquín
173,2004-03-09 00:00:00,Piso,Alquiler,Lleida,143.0,1131416.0,2004-08-25 00:00:00,Joaquín
174,2004-03-10 00:00:00,Local,Venta,Barcelona,52.0,416936.0,2004-08-25 00:00:00,Carmen
175,2004-03-10 00:00:00,Industrial,Alquiler,Lleida,193.0,1658835.0,2004-08-30 00:00:00,Jesús
176,2004-03-11 00:00:00,Suelo,Venta,Tarragona,148.0,1431012.0,2004-09-01 00:00:00,Jesús
179,2004-03-12 00:00:00,Suelo,Alquiler,Tarragona,201.0,1874928.0,2004-06-21 00:00:00,Jesús
181,2004-03-13 00:00:00,Local,Alquiler,Tarragona,162.0,1323054.0,2004-08-25 00:00:00,Joaquín
182,2004-03-14 00:00:00,Local,Alquiler,Girona,231.0,1446522.0,2004-09-02 00:00:00,Carmen
183,2004-03-14 00:00:00,Suelo,Venta,Tarragona,273.0,1447992.0,2004-10-24 00:00:00,Pedro
184,2004-03-15 00:00:00,Industrial,Venta,Barcelona,265.0,2109930.0,2004-08-27 00:00:00,María
187,2004-03-16 00:00:00,Casa,Venta,Lleida,63.0,537264.0,2005-02-08 00:00:00,Carmen
188,2004-03-17 00:00:00,Parking,Venta,Girona,160.0,1261600.0,2004-10-25 00:00:00,Jesús
190,2004-03-18 00:00:00,Suelo,Alquiler,Tarragona,71.0,431325.0,2004-07-23 00:00:00,Carmen
194,2004-03-19 00:00:00,Piso,Venta,Girona,62.0,250852.0,2004-07-21 00:00:00,Carmen
195,2004-03-20 00:00:00,Piso,Alquiler,Barcelona,281.0,1336717.0,2004-11-10 00:00:00,Carmen
196,2004-03-20 00:00:00,Piso,Venta,Tarragona,87.0,519738.0,2005-01-13 00:00:00,Carmen
199,2004-03-22 00:00:00,Parking,Venta,Tarragona,281.0,2108343.0,2004-09-26 00:00:00,Pedro
200,2004-03-22 00:00:00,Parking,Venta,Girona,247.0,1050985.0,2004-11-09 00:00:00,Pedro
204,2004-03-23 00:00:00,Local,Venta,Girona,274.0,2002392.0,2004-12-04 00:00:00,Luisa
205,2004-03-23 00:00:00,Piso,Alquiler,Lleida,250.0,2253500.0,2005-02-21 00:00:00,Joaquín
206,2004-03-23 00:00:00,Piso,Alquiler,Lleida,134.0,1338124.0,2004-08-19 00:00:00,Luisa
207,2004-03-23 00:00:00,Casa,Venta,Lleida,156.0,1369680.0,2004-09-27 00:00:00,Pedro
208,2004-03-24 00:00:00,Parking,Venta,Lleida,167.0,1643948.0,2004-09-21 00:00:00,María
209,2004-03-24 00:00:00,Oficina,Alquiler,Lleida,206.0,1297594.0,2005-03-03 00:00:00,Carmen
210,2004-03-25 00:00:00,Parking,Alquiler,Barcelona,269.0,2134246.0,2004-08-11 00:00:00,Carmen
211,2004-03-25 00:00:00,Casa,Alquiler,Barcelona,63.0,492156.0,2004-10-25 00:00:00,Carmen
212,2004-03-26 00:00:00,Suelo,Alquiler,Lleida,223.0,1932518.0,2005-01-19 00:00:00,Pedro
213,2004-03-26 00:00:00,Industrial,Venta,Girona,163.0,1385011.0,2004-08-26 00:00:00,Carmen
214,2004-03-27 00:00:00,Parking,Alquiler,Girona,214.0,1219158.0,2004-07-13 00:00:00,Pedro
215,2004-03-27 00:00:00,Industrial,Venta,Tarragona,263.0,1494892.0,2005-02-02 00:00:00,María
216,2004-03-28 00:00:00,Industrial,Alquiler,Lleida,216.0,1398600.0,2004-11-03 00:00:00,Luisa
217,2004-03-29 00:00:00,Suelo,Alquiler,Tarragona,65.0,461435.0,2004-12-31 00:00:00,Carmen
219,2004-03-30 00:00:00,Industrial,Alquiler,Lleida,209.0,1042283.0,2004-09-17 00:00:00,Jesús
223,2004-03-31 00:00:00,Oficina,Venta,Tarragona,192.0,1032000.0,2004-08-21 00:00:00,Luisa
224,2004-04-01 00:00:00,Parking,Alquiler,Barcelona,152.0,1069320.0,2004-12-15 00:00:00,Jesús
225,2004-04-01 00:00:00,Local,Alquiler,Tarragona,182.0,1133132.0,2004-08-29 00:00:00,Joaquín
226,2004-04-01 00:00:00,Casa,Venta,Lleida,179.0,1670965.0,2004-09-09 00:00:00,Luisa
227,2004-04-01 00:00:00,Local,Venta,Girona,211.0,2010619.0,2004-11-12 00:00:00,Jesús
228,2004-04-01 00:00:00,Oficina,Venta,Tarragona,117.0,739206.0,2005-01-25 00:00:00,Carmen
229,2004-04-02 00:00:00,Oficina,Alquiler,Tarragona,186.0,1382166.0,2005-03-01 00:00:00,Pedro
231,2004-04-03 00:00:00,Oficina,Venta,Tarragona,212.0,1479548.0,2004-11-03 00:00:00,María
232,2004-04-03 00:00:00,Local,Alquiler,Girona,246.0,1362348.0,2004-10-05 00:00:00,Joaquín
233,2004-04-03 00:00:00,Suelo,Venta,Girona,230.0,1722700.0,2005-03-26 00:00:00,Carmen
235,2004-04-03 00:00:00,Industrial,Venta,Girona,226.0,2104286.0,2004-08-26 00:00:00,Carmen
236,2004-04-05 00:00:00,Piso,Venta,Tarragona,262.0,1748850.0,2004-10-07 00:00:00,Pedro
238,2004-04-05 00:00:00,Piso,Alquiler,Lleida,268.0,2338032.0,2005-01-02 00:00:00,Pedro
239,2004-04-06 00:00:00,Parking,Venta,Barcelona,164.0,1298716.0,2004-12-03 00:00:00,Luisa
240,2004-04-06 00:00:00,Local,Venta,Lleida,260.0,2038660.0,2004-07-26 00:00:00,Carmen
242,2004-04-07 00:00:00,Local,Venta,Lleida,298.0,1870546.0,2005-03-31 00:00:00,Luisa
243,2004-04-07 00:00:00,Local,Alquiler,Tarragona,284.0,1431076.0,2004-12-22 00:00:00,María
244,2004-04-08 00:00:00,Casa,Venta,Barcelona,239.0,1176597.0,2004-07-07 00:00:00,Joaquín
245,2004-04-09 00:00:00,Local,Venta,Girona,287.0,1936102.0,2005-04-08 00:00:00,Jesús
246,2004-04-09 00:00:00,Industrial,Alquiler,Barcelona,159.0,1582527.0,2004-12-09 00:00:00,Jesús
248,2004-04-09 00:00:00,Industrial,Venta,Tarragona,223.0,2026401.0,2004-12-13 00:00:00,Joaquín
250,2004-04-09 00:00:00,Suelo,Venta,Lleida,124.0,1130632.0,2005-01-22 00:00:00,Pedro
251,2004-04-09 00:00:00,Parking,Alquiler,Lleida,168.0,1622040.0,2004-10-15 00:00:00,María
255,2004-04-10 00:00:00,Industrial,Venta,Girona,238.0,1620304.0,2004-10-05 00:00:00,Carmen
256,2004-04-11 00:00:00,Suelo,Alquiler,Lleida,261.0,1220697.0,2005-02-09 00:00:00,Carmen
257,2004-04-11 00:00:00,Suelo,Alquiler,Barcelona,242.0,1099648.0,2005-02-13 00:00:00,María
258,2004-04-11 00:00:00,Parking,Venta,Tarragona,138.0,1183212.0,2005-02-26 00:00:00,Luisa
259,2004-04-12 00:00:00,Piso,Alquiler,Tarragona,258.0,1750014.0,2004-12-09 00:00:00,Luisa
260,2004-04-12 00:00:00,Casa,Alquiler,Lleida,201.0,1107108.0,2005-04-07 00:00:00,Joaquín
261,2004-04-12 00:00:00,Casa,Alquiler,Barcelona,181.0,1449629.0,2004-09-14 00:00:00,Luisa
262,2004-04-13 00:00:00,Oficina,Alquiler,Barcelona,244.0,1006988.0,2004-08-06 00:00:00,María
263,2004-04-14 00:00:00,Parking,Alquiler,Tarragona,258.0,1770912.0,2005-03-02 00:00:00,Jesús
265,2004-04-14 00:00:00,Parking,Alquiler,Tarragona,216.0,1125792.0,2004-09-16 00:00:00,Jesús
266,2004-04-14 00:00:00,Casa,Venta,Girona,204.0,1291116.0,2004-09-27 00:00:00,Carmen
269,2004-04-15 00:00:00,Parking,Alquiler,Tarragona,223.0,1342906.0,2004-10-31 00:00:00,Joaquín
270,2004-04-15 00:00:00,Local,Alquiler,Lleida,237.0,1093281.0,2005-01-02 00:00:00,Jesús
271,2004-04-15 00:00:00,Suelo,Venta,Lleida,270.0,2409210.0,2004-09-03 00:00:00,Carmen
273,2004-04-15 00:00:00,Piso,Alquiler,Lleida,113.0,1102880.0,2005-03-17 00:00:00,Jesús
274,2004-04-16 00:00:00,Local,Alquiler,Girona,193.0,1079449.0,2004-11-20 00:00:00,Pedro
275,2004-04-17 00:00:00,Oficina,Alquiler,Girona,110.0,1039500.0,2004-11-17 00:00:00,Pedro
276,2004-04-17 00:00:00,Parking,Venta,Barcelona,209.0,2038586.0,2005-01-06 00:00:00,Jesús
277,2004-04-17 00:00:00,Suelo,Alquiler,Girona,125.0,853750.0,2004-08-25 00:00:00,Carmen
278,2004-04-18 00:00:00,Suelo,Venta,Girona,244.0,1414956.0,2005-02-26 00:00:00,María
280,2004-04-18 00:00:00,Oficina,Venta,Girona,258.0,1081278.0,2005-04-13 00:00:00,Carmen
281,2004-04-18 00:00:00,Casa,Venta,Girona,285.0,2534505.0,2004-12-28 00:00:00,Jesús
282,2004-04-18 00:00:00,Oficina,Alquiler,Tarragona,137.0,1336298.0,2004-11-27 00:00:00,Pedro
283,2004-04-19 00:00:00,Suelo,Alquiler,Girona,262.0,2404898.0,2004-10-20 00:00:00,Luisa
286,2004-04-19 00:00:00,Industrial,Alquiler,Barcelona,225.0,1360800.0,2004-07-22 00:00:00,Jesús
289,2004-04-20 00:00:00,Oficina,Alquiler,Girona,227.0,1437818.0,2005-03-27 00:00:00,Jesús
290,2004-04-21 00:00:00,Casa,Alquiler,Tarragona,295.0,1877675.0,2004-09-11 00:00:00,Pedro
293,2004-04-22 00:00:00,Oficina,Venta,Girona,86.0,589960.0,2005-03-18 00:00:00,Carmen
295,2004-04-22 00:00:00,Parking,Alquiler,Barcelona,235.0,1773780.0,2005-03-28 00:00:00,Pedro
296,2004-04-23 00:00:00,Suelo,Alquiler,Girona,288.0,2699136.0,2004-07-28 00:00:00,Pedro
299,2004-04-23 00:00:00,Suelo,Alquiler,Tarragona,85.0,683230.0,2005-02-06 00:00:00,Carmen
300,2004-04-24 00:00:00,Casa,Alquiler,Tarragona,178.0,1458176.0,2005-02-12 00:00:00,Carmen
301,2004-04-24 00:00:00,Industrial,Alquiler,Girona,211.0,1171894.0,2005-03-22 00:00:00,Pedro
302,2004-04-25 00:00:00,Oficina,Venta,Girona,209.0,1728221.0,2004-08-30 00:00:00,Carmen
303,2004-04-26 00:00:00,Casa,Alquiler,Barcelona,298.0,2612566.0,2005-02-16 00:00:00,Pedro
304,2004-04-27 00:00:00,Oficina,Venta,Girona,249.0,1150380.0,2004-11-18 00:00:00,Joaquín
305,2004-04-27 00:00:00,Piso,Venta,Lleida,142.0,1055912.0,2004-09-28 00:00:00,Jesús
306,2004-04-27 00:00:00,Industrial,Venta,Lleida,196.0,1645616.0,2005-04-14 00:00:00,Carmen
307,2004-04-28 00:00:00,Suelo,Alquiler,Barcelona,228.0,1521216.0,2005-03-16 00:00:00,Carmen
308,2004-04-28 00:00:00,Piso,Alquiler,Lleida,237.0,1763517.0,2004-09-06 00:00:00,Luisa
310,2004-04-28 00:00:00,Suelo,Venta,Lleida,61.0,605425.0,2004-12-29 00:00:00,Carmen
311,2004-04-29 00:00:00,Industrial,Venta,Girona,189.0,1579284.0,2005-01-07 00:00:00,Luisa
313,2004-04-30 00:00:00,Suelo,Alquiler,Tarragona,230.0,1386900.0,2005-03-21 00:00:00,Joaquín
314,2004-05-01 00:00:00,Casa,Alquiler,Barcelona,251.0,2439971.0,2005-02-14 00:00:00,Joaquín
315,2004-05-02 00:00:00,Industrial,Alquiler,Barcelona,261.0,2571111.0,2005-02-07 00:00:00,Carmen
316,2004-05-02 00:00:00,Parking,Alquiler,Barcelona,251.0,1754992.0,2004-08-26 00:00:00,Jesús
319,2004-05-02 00:00:00,Industrial,Alquiler,Girona,277.0,2456159.0,2004-08-04 00:00:00,María
322,2004-05-03 00:00:00,Parking,Venta,Barcelona,237.0,1592166.0,2004-10-15 00:00:00,María
323,2004-05-04 00:00:00,Suelo,Alquiler,Barcelona,155.0,876060.0,2004-12-31 00:00:00,Carmen
325,2004-05-04 00:00:00,Industrial,Alquiler,Barcelona,179.0,1227224.0,2004-10-08 00:00:00,Luisa
326,2004-05-04 00:00:00,Suelo,Venta,Tarragona,180.0,1022040.0,2005-03-28 00:00:00,Jesús
327,2004-05-04 00:00:00,Suelo,Venta,Barcelona,273.0,1369368.0,2005-04-17 00:00:00,Jesús
328,2004-05-04 00:00:00,Industrial,Venta,Lleida,285.0,1922325.0,2004-11-11 00:00:00,María
329,2004-05-05 00:00:00,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26 00:00:00,Pedro
333,2004-05-07 00:00:00,Industrial,Alquiler,Tarragona,242.0,2110966.0,2005-01-22 00:00:00,Pedro
335,2004-05-07 00:00:00,Local,Alquiler,Tarragona,227.0,1394461.0,2005-01-28 00:00:00,María
337,2004-05-08 00:00:00,Oficina,Alquiler,Barcelona,41.0,361661.0,2005-01-28 00:00:00,Carmen
340,2004-05-10 00:00:00,Casa,Venta,Tarragona,229.0,1990697.0,2004-11-02 00:00:00,Pedro
341,2004-05-10 00:00:00,Local,Alquiler,Lleida,259.0,1992228.0,2004-12-21 00:00:00,Pedro
342,2004-05-10 00:00:00,Parking,Venta,Barcelona,175.0,1178100.0,2004-11-12 00:00:00,Luisa
343,2004-05-10 00:00:00,Casa,Venta,Barcelona,146.0,1083466.0,2004-09-19 00:00:00,Jesús
344,2004-05-11 00:00:00,Industrial,Alquiler,Tarragona,131.0,1263495.0,2005-01-01 00:00:00,Jesús
345,2004-05-11 00:00:00,Local,Venta,Tarragona,202.0,1320676.0,2004-12-23 00:00:00,Pedro
346,2004-05-11 00:00:00,Industrial,Venta,Barcelona,173.0,851852.0,2004-09-18 00:00:00,Carmen
347,2004-05-11 00:00:00,Oficina,Alquiler,Girona,187.0,1560889.0,2005-03-26 00:00:00,Joaquín
348,2004-05-12 00:00:00,Parking,Venta,Tarragona,234.0,1398852.0,2004-11-01 00:00:00,María
351,2004-05-14 00:00:00,Casa,Venta,Tarragona,241.0,2060550.0,2004-10-10 00:00:00,Luisa
352,2004-05-14 00:00:00,Piso,Alquiler,Tarragona,257.0,1980185.0,2004-08-14 00:00:00,Carmen
353,2004-05-14 00:00:00,Piso,Venta,Girona,122.0,885476.0,2005-03-30 00:00:00,Carmen
354,2004-05-14 00:00:00,Oficina,Alquiler,Tarragona,209.0,1181686.0,2004-10-15 00:00:00,Carmen
356,2004-05-15 00:00:00,Suelo,Venta,Girona,196.0,1707944.0,2004-08-19 00:00:00,Pedro
357,2004-05-15 00:00:00,Piso,Venta,Barcelona,131.0,1180048.0,2004-11-04 00:00:00,Joaquín
358,2004-05-15 00:00:00,Parking,Venta,Lleida,130.0,1176630.0,2005-03-18 00:00:00,Jesús
360,2004-05-17 00:00:00,Local,Venta,Lleida,291.0,1505925.0,2005-03-10 00:00:00,Luisa
362,2004-05-18 00:00:00,Suelo,Alquiler,Girona,68.0,378624.0,2005-03-30 00:00:00,Carmen
363,2004-05-18 00:00:00,Local,Venta,Lleida,267.0,1257036.0,2004-12-26 00:00:00,Luisa
367,2004-05-18 00:00:00,Casa,Venta,Girona,80.0,354320.0,2004-10-18 00:00:00,Carmen
368,2004-05-19 00:00:00,Casa,Alquiler,Barcelona,149.0,1238339.0,2004-12-27 00:00:00,Luisa
369,2004-05-19 00:00:00,Suelo,Alquiler,Tarragona,285.0,1377975.0,2004-09-14 00:00:00,Jesús
370,2004-05-20 00:00:00,Oficina,Venta,Barcelona,230.0,1109980.0,2004-12-08 00:00:00,Luisa
371,2004-05-20 00:00:00,Parking,Alquiler,Lleida,163.0,1317529.0,2005-05-03 00:00:00,Luisa
374,2004-05-22 00:00:00,Local,Venta,Tarragona,230.0,1398630.0,2005-04-10 00:00:00,María
375,2004-05-23 00:00:00,Industrial,Alquiler,Lleida,247.0,1210053.0,2004-09-04 00:00:00,Jesús
377,2004-05-24 00:00:00,Suelo,Alquiler,Girona,280.0,1680000.0,2004-09-17 00:00:00,María
379,2004-05-25 00:00:00,Local,Venta,Lleida,269.0,2586704.0,2005-03-27 00:00:00,Carmen
